"TOA5","sdle-sf01","CR1000","47777","CR1000.Std.24","CPU:SLDESF01Program-pyroandweather.CR1","27205","SF01"
"TIMESTAMP","RECORD","SlrW_Avg","SlrkJ_2_Tot","WindDir_Avg","WindSpd_Avg","WindSpd_Max","WindSpd_TMx","AirTemp_Avg","RelHum_Avg","AirPress_Avg","RainAmt_Avg","HailAmt_Avg","Result8_Avg","Result9_Avg"
"TS","RN","W/m^2","kJ/m^2","Degrees","m/s","m/s","m/s","Celsius","%","hPa","mm","hits/cm2","Units","Units"
"","","Avg","Tot","Avg","Avg","Max","TMx","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-12-24 04:00:00",380304,0,0,240.8,2.7,3.7,"2013-12-24 03:59:25",-3.8,69.4,1001,0,0,0,0
"2013-12-24 04:01:00",380305,0,0,237.5,3.13,3.8,"2013-12-24 04:00:30",-3.8,69.06,1001,0,0,0,0
"2013-12-24 04:03:00",380306,0,0,235.7,3.159,4.9,"2013-12-24 04:01:50",-3.8,68.14,1001,0,0,0,0
"2013-12-24 04:04:00",380307,0,0,232.3,2.73,3.8,"2013-12-24 04:04:00",-3.8,68.18,1001,0,0,0,0
"2013-12-24 04:06:00",380308,0,0,246,2.95,4.3,"2013-12-24 04:04:35",-3.8,67.19,1000,0,0,0,0
"2013-12-24 04:07:00",380309,0,0,253.5,3.79,4.3,"2013-12-24 04:06:25",-3.8,65.89,1000,0,0,0,0
"2013-12-24 04:08:00",380310,0,0,252.2,3.6,4.2,"2013-12-24 04:07:40",-3.8,64.67,1000,0,0,0,0
"2013-12-24 04:09:00",380311,0,0,235.5,3.69,4.2,"2013-12-24 04:08:10",-3.8,63.41,1000,0,0,0,0
"2013-12-24 04:10:00",380312,0,0,249.3,4.725,6.5,"2013-12-24 04:10:00",-3.8,60.77,1000,0,0,0,0
"2013-12-24 04:11:00",380313,0,0,264.1,4.67,5.6,"2013-12-24 04:10:20",-3.87,58.08,1000,0,0,0,0
"2013-12-24 04:12:00",380314,0,0,277.8,5.09,6.4,"2013-12-24 04:11:40",-3.8,56.16,1000,0,0,0,0
"2013-12-24 04:13:00",380315,0,0,259.1,5.1,5.9,"2013-12-24 04:12:20",-3.8,55.35,1000,0,0,0,0
"2013-12-24 04:14:00",380316,0,0,248,4.31,5.2,"2013-12-24 04:13:25",-3.8,55.32,1000,0,0,0,0
"2013-12-24 04:16:00",380317,0,0,259.4,3.732,5.1,"2013-12-24 04:15:50",-3.714,55.32,1000,0,0,0,0
"2013-12-24 04:17:00",380318,0,0,270.3,4.79,5.7,"2013-12-24 04:16:05",-3.7,53.55,1000,0,0,0,0
"2013-12-24 04:18:00",380319,0,0,274.2,4.733,6.1,"2013-12-24 04:17:25",-3.7,53.22,1000,0,0,0,0
"2013-12-24 04:19:00",380320,0,0,257,4.89,5.5,"2013-12-24 04:18:55",-3.73,52.92,1000,0,0,0,0
"2013-12-24 04:20:00",380321,0,0,259.8,4.61,5.7,"2013-12-24 04:19:35",-3.8,52.73,1000,0,0,0,0
"2013-12-24 04:21:00",380322,0,0,263.4,5.117,7.8,"2013-12-24 04:20:35",-3.8,51.49,1000,0,0,0,0
"2013-12-24 04:22:00",380323,0,0,258,4.48,7.2,"2013-12-24 04:22:00",-3.8,51.34,1000,0,0,0,0
"2013-12-24 04:23:00",380324,0,0,273.4,5.2,7.1,"2013-12-24 04:22:10",-3.8,51.29,1000,0,0,0,0
"2013-12-24 04:24:00",380325,0,0,254,3.49,4.6,"2013-12-24 04:23:45",-3.8,52.38,1000,0,0,0,0
"2013-12-24 04:25:00",380326,0,0,248,4.49,6.1,"2013-12-24 04:24:15",-3.8,52.14,1000,0,0,0,0
"2013-12-24 04:26:00",380327,0,0,251.5,4.367,5.7,"2013-12-24 04:25:40",-3.8,51.53,1000,0,0,0,0
"2013-12-24 04:27:00",380328,0,0,251.4,5.16,6.1,"2013-12-24 04:26:20",-3.81,51.66,1000,0,0,0,0
"2013-12-24 04:29:00",380329,0,0,251.9,3.664,4.9,"2013-12-24 04:27:05",-3.895,51.89,1000,0,0,0,0
"2013-12-24 04:30:00",380330,0,0,237.3,3.55,4.8,"2013-12-24 04:29:50",-3.89,52.21,1000,0,0,0,0
"2013-12-24 04:31:00",380331,0,0,235.2,3.283,4.7,"2013-12-24 04:30:55",-3.9,52.05,1000,0,0,0,0
"2013-12-24 04:32:00",380332,0,0,254.1,4.02,4.9,"2013-12-24 04:31:05",-3.9,51.78,1000,0,0,0,0
"2013-12-24 04:33:00",380333,0,0,243.8,4.5,5.5,"2013-12-24 04:32:55",-3.9,51.47,1000,0,0,0,0
"2013-12-24 04:34:00",380334,0,0,255.7,4.59,5.9,"2013-12-24 04:33:40",-3.9,51.58,1000,0,0,0,0
"2013-12-24 04:35:00",380335,0,0,245.9,3.35,4,"2013-12-24 04:34:10",-3.9,52.01,1000,0,0,0,0
"2013-12-24 04:36:00",380336,0,0,234.3,4.408,5.2,"2013-12-24 04:35:25",-3.9,52.51,1000,0,0,0,0
"2013-12-24 04:37:00",380337,0,0,240.9,3.81,4.4,"2013-12-24 04:36:05",-3.9,52.36,1000,0,0,0,0
"2013-12-24 04:38:00",380338,0,0,252.9,4.425,5.1,"2013-12-24 04:37:05",-3.9,52.66,1000,0,0,0,0
"2013-12-24 04:39:00",380339,0,0,264,4.6,5.5,"2013-12-24 04:38:30",-3.9,53.66,1000,0,0,0,0
"2013-12-24 04:41:00",380340,0,0,255.5,4.086,5.1,"2013-12-24 04:39:50",-3.9,54.13,1000,0,0,0,0
"2013-12-24 04:42:00",380341,0,0,252.4,3.69,4.5,"2013-12-24 04:41:25",-3.9,55.08,1000,0,0,0,0
"2013-12-24 04:43:00",380342,0,0,253.8,4.042,5,"2013-12-24 04:43:00",-3.9,54.93,1000,0,0,0,0
"2013-12-24 04:44:00",380343,0,0,263.2,4.3,5.2,"2013-12-24 04:43:05",-3.9,55.17,1000,0,0,0,0
"2013-12-24 04:45:00",380344,0,0,287.6,5.28,6.4,"2013-12-24 04:44:35",-3.9,55.29,1000,0,0,0,0
"2013-12-24 04:46:00",380345,0,0,264.8,4.658,5.4,"2013-12-24 04:45:35",-3.9,55.38,1000,0,0,0,0
"2013-12-24 04:47:00",380346,0,0,239.4,4.27,5.7,"2013-12-24 04:46:10",-3.9,55.62,1000,0,0,0,0
"2013-12-24 04:48:00",380347,0,0,241.3,5.192,7.1,"2013-12-24 04:47:20",-3.933,55.43,1000,0,0,0,0
"2013-12-24 04:49:00",380348,0,0,252.7,3.53,5.1,"2013-12-24 04:48:15",-4,55.87,1000,0,0,0,0
"2013-12-24 04:50:00",380349,0,0,257.4,3.92,4.7,"2013-12-24 04:49:30",-4,56.3,1000,0,0,0,0
"2013-12-24 04:51:00",380350,0,0,261.7,4.767,5.9,"2013-12-24 04:50:25",-4,56.6,1000,0,0,0,0
"2013-12-24 04:52:00",380351,0,0,253.7,3.96,5.2,"2013-12-24 04:51:10",-4,56.61,1000,0,0,0,0
"2013-12-24 04:53:00",380352,0,0,246.2,3.942,6.6,"2013-12-24 04:53:00",-4,57.22,1000,0,0,0,0
"2013-12-24 04:54:00",380353,0,0,256.8,5.06,6.6,"2013-12-24 04:53:05",-4,56.98,1000,0,0,0,0
"2013-12-24 04:55:00",380354,0,0,264.8,4.18,5.1,"2013-12-24 04:54:25",-4,57.44,1000,0,0,0,0
"2013-12-24 04:56:00",380355,0,0,271.3,4.425,5.8,"2013-12-24 04:55:25",-4,57.76,1000,0,0,0,0
"2013-12-24 04:57:00",380356,0,0,273.1,4.72,5.9,"2013-12-24 04:56:45",-4,58.34,1000,0,0,0,0
"2013-12-24 04:59:00",380357,0,0,257.4,4.25,5.8,"2013-12-24 04:58:40",-4,59.93,1000,0,0,0,0
"2013-12-24 05:00:00",380358,0,0,275.4,3.85,5.1,"2013-12-24 04:59:15",-4,60.76,1000,0,0,0,0
"2013-12-24 05:02:00",380359,0,0,267.8,4.891,6.9,"2013-12-24 05:01:20",-4.059,60.98,1000,0,0,0,0
"2013-12-24 05:03:00",380360,0,0,262.8,5.48,7.1,"2013-12-24 05:03:00",-4.15,61.85,1000,0,0,0,0
"2013-12-24 05:04:00",380361,0,0,275,7.033,9.6,"2013-12-24 05:03:30",-4.2,62.09,1000,0,0,0,0
"2013-12-24 05:05:00",380362,0,0,262.9,6.84,8.4,"2013-12-24 05:04:35",-4.28,62.24,1000,0,0,0,0
"2013-12-24 05:06:00",380363,0,0,278.6,5.383,7.3,"2013-12-24 05:05:15",-4.3,63.03,1000,0,0,0,0
"2013-12-24 05:07:00",380364,0,0,270.5,4.29,6.5,"2013-12-24 05:06:15",-4.38,63.52,1000,0,0,0,0
"2013-12-24 05:08:00",380365,0,0,285.1,5.39,8.4,"2013-12-24 05:07:55",-4.4,63.94,1000,0,0,0,0
"2013-12-24 05:10:00",380366,0,0,278.7,5.1,8.1,"2013-12-24 05:08:25",-4.4,64.38,1000,0,0,0,0
"2013-12-24 05:11:00",380367,0,0,264.3,3.81,5.1,"2013-12-24 05:10:20",-4.45,64.7,1001,0,0,0,0
"2013-12-24 05:12:00",380368,0,0,265.8,4.642,6,"2013-12-24 05:11:50",-4.5,65.08,1001,0,0,0,0
"2013-12-24 05:13:00",380369,0,0,268.7,5.17,6.1,"2013-12-24 05:12:50",-4.5,65.02,1001,0,0,0,0
"2013-12-24 05:15:00",380370,0,0,265.1,5.855,7.8,"2013-12-24 05:13:15",-4.577,65.1,1001,0,0,0,0
"2013-12-24 05:16:00",380371,0,0,274.1,4.47,5.5,"2013-12-24 05:15:55",-4.6,65.84,1001,0,0,0,0
"2013-12-24 05:17:00",380372,0,0,273.7,5.775,7.4,"2013-12-24 05:16:20",-4.6,65.7,1001,0,0,0,0
"2013-12-24 05:18:00",380373,0,0,251.1,4.91,6.5,"2013-12-24 05:18:00",-4.6,66.06,1001,0,0,0,0
"2013-12-24 05:20:00",380374,0,0,261.4,4.923,7.2,"2013-12-24 05:18:45",-4.677,66.57,1001,0,0,0,0
"2013-12-24 05:21:00",380375,0,0,265.1,6.34,9.4,"2013-12-24 05:20:15",-4.7,66.69,1001,0,0,0,0
"2013-12-24 05:22:00",380376,0,0,275.3,5.375,6.4,"2013-12-24 05:21:15",-4.758,66.71,1001,0,0,0,0
"2013-12-24 05:23:00",380377,0,0,257.8,5.09,6.5,"2013-12-24 05:22:50",-4.8,66.81,1001,0,0,0,0
"2013-12-24 05:24:00",380378,0,0,274.9,5.06,6.5,"2013-12-24 05:23:20",-4.8,67.1,1001,0,0,0,0
"2013-12-24 05:25:00",380379,0,0,273.3,5.075,6.5,"2013-12-24 05:24:55",-4.833,67.28,1001,0,0,0,0
"2013-12-24 05:26:00",380380,0,0,255.8,4.2,5.4,"2013-12-24 05:25:05",-4.88,67.59,1001,0,0,0,0
"2013-12-24 05:28:00",380381,0,0,267.3,4.623,7.7,"2013-12-24 05:28:00",-4.8,67.72,1001,0,0,0,0
"2013-12-24 05:29:00",380382,0,0,267.4,5.48,7.4,"2013-12-24 05:28:05",-4.89,66.7,1001,0,0,0,0
"2013-12-24 05:30:00",380383,0,0,256.3,6.442,7.4,"2013-12-24 05:29:20",-4.9,66.25,1001,0,0,0,0
"2013-12-24 05:31:00",380384,0,0,262.2,5.94,7.2,"2013-12-24 05:30:10",-5,65.73,1001,0,0,0,0
"2013-12-24 05:33:00",380385,0,0,264.3,5.8,9.8,"2013-12-24 05:31:40",-5.014,65.8,1001,0,0,0,0
"2013-12-24 05:34:00",380386,0,0,262.8,6.3,7.7,"2013-12-24 05:33:25",-5.1,65.35,1001,0,0,0,0
"2013-12-24 05:35:00",380387,0,0,275.3,6.658,10.1,"2013-12-24 05:34:20",-5.1,65.13,1001,0,0,0,0
"2013-12-24 05:36:00",380388,0,0,266.4,6.13,7.8,"2013-12-24 05:35:10",-5.2,64.6,1001,0,0,0,0
"2013-12-24 05:37:00",380389,0,0,275.1,4.66,6.2,"2013-12-24 05:37:00",-5.2,64.71,1001,0,0,0,0
"2013-12-24 05:38:00",380390,0,0,265.4,7.45,11.1,"2013-12-24 05:37:35",-5.225,64.61,1001,0,0,0,0
"2013-12-24 05:39:00",380391,0,0,254.5,6.02,7.9,"2013-12-24 05:38:40",-5.3,64.27,1001,0,0,0,0
"2013-12-24 05:40:00",380392,0,0,269.8,5.383,7,"2013-12-24 05:40:00",-5.3,64.78,1001,0,0,0,0
"2013-12-24 05:41:00",380393,0,0,261.1,7.41,9.7,"2013-12-24 05:40:40",-5.3,65.24,1001,0,0,0,0
"2013-12-24 05:43:00",380394,0,0,270.5,5.268,6.8,"2013-12-24 05:42:25",-5.3,65.89,1001,0,0,0,0
"2013-12-24 05:44:00",380395,0,0,274.5,3.86,5.1,"2013-12-24 05:43:10",-5.3,66.21,1001,0,0,0,0
"2013-12-24 05:45:00",380396,0,0,263.1,5.117,6.1,"2013-12-24 05:44:05",-5.3,65.86,1001,0,0,0,0
"2013-12-24 05:46:00",380397,0,0,274.3,5.49,7.9,"2013-12-24 05:46:00",-5.3,65.75,1001,0,0,0,0
"2013-12-24 05:47:00",380398,0,0,272.3,6.05,9.2,"2013-12-24 05:46:15",-5.375,64.95,1001,0,0,0,0
"2013-12-24 05:48:00",380399,0,0,262.9,4.31,5.5,"2013-12-24 05:47:55",-5.4,65.24,1001,0,0,0,0
"2013-12-24 05:49:00",380400,0,0,270.2,6.35,8.2,"2013-12-24 05:48:05",-5.4,65.06,1001,0,0,0,0
"2013-12-24 05:50:00",380401,0,0,273,4.43,6.4,"2013-12-24 05:50:00",-5.41,64.84,1001,0,0,0,0
"2013-12-24 05:52:00",380402,0,0,277.4,4.968,6.4,"2013-12-24 05:52:00",-5.5,64.27,1001,0,0,0,0
"2013-12-24 05:53:00",380403,0,0,262.5,4.87,6.5,"2013-12-24 05:52:50",-5.5,64.58,1001,0,0,0,0
"2013-12-24 05:54:00",380404,0,0,274.1,5.083,7.8,"2013-12-24 05:53:25",-5.5,64.47,1001,0,0,0,0
"2013-12-24 05:55:00",380405,0,0,269.1,6.69,8.7,"2013-12-24 05:54:20",-5.5,63.53,1001,0,0,0,0
"2013-12-24 05:57:00",380406,0,0,267.8,6.823,9.6,"2013-12-24 05:56:15",-5.573,63.57,1001,0,0,0,0
"2013-12-24 05:59:00",380407,0,0,271.7,4.464,9.2,"2013-12-24 05:57:10",-5.632,64.14,1001,0,0,0,0
