"TOA5","sdle-sf01","CR1000","47777","CR1000.Std.24","CPU:SLDESF01Program-pyroandweather.CR1","27205","SF01"
"TIMESTAMP","RECORD","SlrW_Avg","SlrkJ_2_Tot","WindDir_Avg","WindSpd_Avg","WindSpd_Max","WindSpd_TMx","AirTemp_Avg","RelHum_Avg","AirPress_Avg","RainAmt_Avg","HailAmt_Avg","Result8_Avg","Result9_Avg"
"TS","RN","W/m^2","kJ/m^2","Degrees","m/s","m/s","m/s","Celsius","%","hPa","mm","hits/cm2","Units","Units"
"","","Avg","Tot","Avg","Avg","Max","TMx","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-12-24 12:00:00",380731,40.98,2.048874,237.8,3.56,4.3,"2013-12-24 11:59:25",-8.4,82.5,1004,0,0,0,0
"2013-12-24 12:02:00",380732,42.42,4.666525,248,2.909,4.6,"2013-12-24 12:00:10",-8.4,82.6,1004,0,0,0,0
"2013-12-24 12:03:00",380733,45.55,2.277259,232.5,3.39,4.1,"2013-12-24 12:02:50",-8.4,82.5,1004,0,0,0,0
"2013-12-24 12:04:00",380734,51.02,3.061259,251.1,3.008,4.2,"2013-12-24 12:03:20",-8.4,82.4,1004,0,0,0,0
"2013-12-24 12:05:00",380735,54.97,2.748359,261.5,3.65,4,"2013-12-24 12:04:20",-8.4,82.4,1004,0,0,0,0
"2013-12-24 12:06:00",380736,54.39,3.263361,246.1,3.6,5,"2013-12-24 12:05:55",-8.4,82.4,1004,0,0,0,0
"2013-12-24 12:07:00",380737,48.38,2.418976,234,3.3,4.4,"2013-12-24 12:06:25",-8.4,82.3,1004,0,0,0,0
"2013-12-24 12:08:00",380738,45.19,2.259749,253.6,3.99,5.4,"2013-12-24 12:07:50",-8.4,82.3,1004,0,0,0,0
"2013-12-24 12:09:00",380739,43.32,2.599013,251.8,3.25,4.8,"2013-12-24 12:08:05",-8.4,82.2,1004,0,0,0,0
"2013-12-24 12:10:00",380740,44.47,2.223482,258,2.48,2.9,"2013-12-24 12:09:10",-8.4,82.3,1004,0,0,0,0
"2013-12-24 12:11:00",380741,45.59,2.279469,244,2.86,5,"2013-12-24 12:11:00",-8.4,82.3,1004,0,0,0,0
"2013-12-24 12:12:00",380742,44.63,2.678056,238.9,3.342,3.9,"2013-12-24 12:11:05",-8.4,82.2,1004,0,0,0,0
"2013-12-24 12:13:00",380743,40.32,2.015938,237.6,2.36,2.8,"2013-12-24 12:12:40",-8.4,82.2,1004,0,0,0,0
"2013-12-24 12:14:00",380744,36.42,2.185033,265.3,2.917,3.3,"2013-12-24 12:13:30",-8.38,82.3,1004,0,0,0,0
"2013-12-24 12:15:00",380745,35.86,1.793051,256,3.16,4.3,"2013-12-24 12:14:25",-8.3,82.2,1004,0,0,0,0
"2013-12-24 12:16:00",380746,38.98,1.948972,252.3,3.34,4,"2013-12-24 12:15:10",-8.3,82.2,1004,0,0,0,0
"2013-12-24 12:17:00",380747,45.88,2.752728,234.6,2.592,3.3,"2013-12-24 12:16:30",-8.3,82.2,1004,0,0,0,0
"2013-12-24 12:18:00",380748,50.4,2.519957,242.5,2.01,2.9,"2013-12-24 12:17:55",-8.3,82.2,1004,0,0,0,0
"2013-12-24 12:19:00",380749,47.93,2.875725,238,2.208,2.9,"2013-12-24 12:18:15",-8.28,82.2,1004,0,0,0,0
"2013-12-24 12:20:00",380750,44.93,2.246556,262.8,1.77,2.2,"2013-12-24 12:19:45",-8.21,82.2,1005,0,0,0,0
"2013-12-24 12:22:00",380751,38.49,4.234001,266.7,2.132,4,"2013-12-24 12:21:50",-8.2,82.3,1004,0,0,0,0
"2013-12-24 12:23:00",380752,40.08,2.003916,260.4,2.3,4,"2013-12-24 12:22:40",-8.15,82.4,1004,0,0,0,0
"2013-12-24 12:24:00",380753,41.62,2.496924,242,2.067,2.6,"2013-12-24 12:23:05",-8.1,82.3,1004,0,0,0,0
"2013-12-24 12:25:00",380754,39.64,1.981935,245.2,1.24,2.2,"2013-12-24 12:24:20",-8.1,82.1,1004,0,0,0,0
"2013-12-24 12:26:00",380755,35.7,2.142257,250,1.6,2.3,"2013-12-24 12:26:00",-8.08,82.1,1004,0,0,0,0
"2013-12-24 12:27:00",380756,33.84,1.692064,245.7,2.07,2.8,"2013-12-24 12:27:00",-8,82.1,1004,0,0,0,0
"2013-12-24 12:28:00",380757,35.12,2.107091,243.1,2.15,2.7,"2013-12-24 12:27:05",-8,82,1004,0,0,0,0
"2013-12-24 12:29:00",380758,40.47,2.023634,230.8,2.13,3.1,"2013-12-24 12:28:25",-8,81.9,1004,0,0,0,0
"2013-12-24 12:30:00",380759,41.11,2.055456,229.5,2.72,3.2,"2013-12-24 12:29:20",-8,81.5,1004,0,0,0,0
"2013-12-24 12:31:00",380760,39.25,2.355195,242.6,3.167,3.6,"2013-12-24 12:30:30",-8,81.1,1004,0,0,0,0
"2013-12-24 12:32:00",380761,40.27,2.013713,238.1,2.85,3.5,"2013-12-24 12:31:10",-8,80.7,1004,0,0,0,0
"2013-12-24 12:33:00",380762,45.05,2.703249,257.1,2.542,3.5,"2013-12-24 12:32:05",-8.09,80.6,1004,0,0,0,0
"2013-12-24 12:34:00",380763,44.56,2.227829,242.3,2.07,2.4,"2013-12-24 12:33:15",-8.1,80.8,1004,0,0,0,0
"2013-12-24 12:35:00",380764,42.56,2.12793,246.3,2.42,4,"2013-12-24 12:35:00",-8.1,80.8,1004,0,0,0,0
"2013-12-24 12:36:00",380765,42.66,2.559424,246.8,2.675,3.4,"2013-12-24 12:35:15",-8.1,80.7,1004,0,0,0,0
"2013-12-24 12:37:00",380766,40.82,2.041181,257.6,3.24,4.4,"2013-12-24 12:37:00",-8.1,80.7,1004,0,0,0,0
"2013-12-24 12:38:00",380767,39.53,2.371675,253.2,2.767,3.8,"2013-12-24 12:37:05",-8.1,80.7,1004,0,0,0,0
"2013-12-24 12:39:00",380768,40.96,2.047765,245.8,2.18,2.7,"2013-12-24 12:38:30",-8.1,80.7,1004,0,0,0,0
"2013-12-24 12:40:00",380769,45.07,2.704377,263.1,3.183,4,"2013-12-24 12:39:35",-8.05,80.6,1004,0,0,0,0
"2013-12-24 12:41:00",380770,47.21,2.360706,243,2.17,2.8,"2013-12-24 12:41:00",-8,80.5,1004,0,0,0,0
"2013-12-24 12:42:00",380771,45.41,2.270668,255,2.64,3.9,"2013-12-24 12:41:20",-8,80.3,1004,0,0,0,0
"2013-12-24 12:43:00",380772,38.47,2.308002,242.1,2.608,3.6,"2013-12-24 12:42:30",-8,80.2,1004,0,0,0,0
"2013-12-24 12:44:00",380773,35.14,1.756813,244.7,3.05,4.2,"2013-12-24 12:43:15",-8,80,1004,0,0,0,0
"2013-12-24 12:45:00",380774,32.9,1.974228,267.6,3.017,3.8,"2013-12-24 12:45:00",-7.967,79.82,1004,0,0,0,0
"2013-12-24 12:46:00",380775,32.55,1.627266,277.8,2.39,3.5,"2013-12-24 12:45:05",-7.9,79.54,1004,0,0,0,0
"2013-12-24 12:48:00",380776,35.43,3.89686,259.1,3.073,4.3,"2013-12-24 12:47:40",-7.9,79.48,1005,0,0,0,0
"2013-12-24 12:49:00",380777,38.41,1.920442,252.6,2.43,3,"2013-12-24 12:48:35",-7.9,79.23,1005,0,0,0,0
"2013-12-24 12:50:00",380778,37.74,2.264124,238.2,1.95,2.6,"2013-12-24 12:49:15",-7.9,79.05,1005,0,0,0,0
"2013-12-24 12:51:00",380779,37.99,1.899577,259.6,2.16,3.3,"2013-12-24 12:50:35",-7.9,78.91,1005,0,0,0,0
"2013-12-24 12:52:00",380780,37.97,2.278402,247.8,3.767,4.9,"2013-12-24 12:51:40",-7.9,78.85,1004,0,0,0,0
"2013-12-24 12:53:00",380781,38.5,1.924827,273.5,3.71,5.4,"2013-12-24 12:52:45",-7.9,78.58,1004,0,0,0,0
"2013-12-24 12:54:00",380782,40.93,2.046723,250.7,4.25,6.2,"2013-12-24 12:53:25",-7.9,78.37,1005,0,0,0,0
"2013-12-24 12:55:00",380783,41.19,2.471667,275.9,3.883,4.7,"2013-12-24 12:54:35",-7.9,78.08,1005,0,0,0,0
"2013-12-24 12:56:00",380784,41.86,2.092856,273.9,2.73,4,"2013-12-24 12:55:05",-7.95,78.01,1005,0,0,0,0
"2013-12-24 12:58:00",380785,46.95,5.164104,258.5,2.668,4,"2013-12-24 12:56:10",-8,78.24,1005,0,0,0,0
"2013-12-24 12:59:00",380786,50.16,2.507959,241.9,3.56,5,"2013-12-24 12:58:50",-8,78.35,1005,0,0,0,0
"2013-12-24 13:00:00",380787,47.66,2.859362,269.3,2.867,4.6,"2013-12-24 12:59:15",-8,78.15,1005,0,0,0,0
"2013-12-24 13:01:00",380788,47.09,2.354264,242.7,3.5,4.6,"2013-12-24 13:00:35",-8,78.06,1005,0,0,0,0
"2013-12-24 13:02:00",380789,48.64,2.43221,260.8,3.3,4,"2013-12-24 13:01:10",-8,77.74,1005,0,0,0,0
"2013-12-24 13:03:00",380790,50.66,3.039462,242.1,2.525,3.5,"2013-12-24 13:02:10",-7.958,77.45,1005,0,0,0,0
"2013-12-24 13:04:00",380791,46.93,2.346574,226.6,2.46,4.2,"2013-12-24 13:04:00",-7.9,77.3,1005,0,0,0,0
"2013-12-24 13:06:00",380792,44.44,4.888634,244.5,2.955,4.4,"2013-12-24 13:04:10",-7.973,77.3,1005,0,0,0,0
"2013-12-24 13:07:00",380793,44.93,2.246682,240.9,3.58,5.3,"2013-12-24 13:07:00",-8,77.5,1005,0,0,0,0
"2013-12-24 13:08:00",380794,45.37,2.722166,242.3,2.933,4,"2013-12-24 13:07:05",-8.04,77.53,1005,0,0,0,0
"2013-12-24 13:09:00",380795,48.71,2.435573,252.2,2.44,3.3,"2013-12-24 13:08:45",-8.1,77.83,1005,0,0,0,0
"2013-12-24 13:10:00",380796,51.46,2.572822,261.5,1.99,2.6,"2013-12-24 13:09:25",-8.1,78.23,1005,0,0,0,0
"2013-12-24 13:11:00",380797,52.78,3.166919,245.3,2.617,3.8,"2013-12-24 13:10:45",-8.1,78.63,1005,0,0,0,0
"2013-12-24 13:12:00",380798,57.28,2.86384,265,1.94,2.4,"2013-12-24 13:11:25",-8.1,78.71,1005,0,0,0,0
"2013-12-24 13:13:00",380799,60.96,3.65774,259.6,2.258,2.7,"2013-12-24 13:12:30",-8.04,78.88,1005,0,0,0,0
"2013-12-24 13:14:00",380800,54.29,2.714471,246.5,2.37,3.3,"2013-12-24 13:13:05",-8,78.83,1005,0,0,0,0
"2013-12-24 13:16:00",380801,46.92,5.160976,255.8,2.441,3.5,"2013-12-24 13:14:05",-8.05,78.77,1005,0,0,0,0
"2013-12-24 13:17:00",380802,45.04,2.252146,274.2,2.45,4.6,"2013-12-24 13:16:55",-8.01,78.98,1005,0,0,0,0
"2013-12-24 13:18:00",380803,47.49,2.849509,265.5,2.717,3.4,"2013-12-24 13:17:35",-8,78.85,1005,0,0,0,0
"2013-12-24 13:19:00",380804,49.98,2.499205,269.9,1.92,2.6,"2013-12-24 13:18:40",-8,78.9,1005,0,0,0,0
"2013-12-24 13:20:00",380805,51.17,2.558474,261.3,1.55,1.8,"2013-12-24 13:19:15",-8.02,78.97,1005,0,0,0,0
"2013-12-24 13:21:00",380806,56.04,3.362195,235.8,2.117,2.8,"2013-12-24 13:20:15",-8,79.16,1005,0,0,0,0
"2013-12-24 13:22:00",380807,53.85,2.692366,237.1,2.97,3.5,"2013-12-24 13:21:25",-8,79.07,1005,0,0,0,0
"2013-12-24 13:23:00",380808,48.93,2.446401,226.5,2.85,3.7,"2013-12-24 13:22:25",-8.03,78.91,1005,0,0,0,0
"2013-12-24 13:24:00",380809,45.57,2.734078,236.1,2.383,2.9,"2013-12-24 13:23:30",-8.1,78.9,1005,0,0,0,0
"2013-12-24 13:25:00",380810,47.41,2.370627,266.3,3.25,4.7,"2013-12-24 13:24:15",-8.1,78.9,1005,0,0,0,0
"2013-12-24 13:26:00",380811,51.83,3.109577,268.2,2.517,3.2,"2013-12-24 13:25:10",-8.1,78.86,1005,0,0,0,0
"2013-12-24 13:27:00",380812,58.92,2.945975,262.7,2.37,3,"2013-12-24 13:26:40",-8.1,79.02,1005,0,0,0,0
"2013-12-24 13:28:00",380813,65.38,3.268789,233.9,1.5,1.9,"2013-12-24 13:27:15",-8.1,79.12,1005,0,0,0,0
"2013-12-24 13:29:00",380814,68.21,4.092301,249.1,1.908,3.1,"2013-12-24 13:28:40",-8.09,79.24,1005,0,0,0,0
"2013-12-24 13:30:00",380815,65.11,3.25561,246.3,1.38,2.3,"2013-12-24 13:29:45",-8.01,79.24,1005,0,0,0,0
"2013-12-24 13:31:00",380816,64.56,3.873759,239.3,2.417,4.1,"2013-12-24 13:31:00",-8,79.28,1005,0,0,0,0
"2013-12-24 13:32:00",380817,63.05,3.152332,249.2,3,3.7,"2013-12-24 13:31:25",-8,79.01,1005,0,0,0,0
"2013-12-24 13:34:00",380818,53.91,5.930173,266.4,4.382,6.2,"2013-12-24 13:32:25",-8,77.76,1005,0,0,0,0
"2013-12-24 13:35:00",380819,49.67,2.483627,243.9,2.71,4.1,"2013-12-24 13:34:55",-8,76.4,1005,0,0,0,0
"2013-12-24 13:36:00",380820,50.32,3.019421,253,3.15,4.1,"2013-12-24 13:35:45",-7.958,76.28,1005,0,0,0,0
"2013-12-24 13:37:00",380821,46.2,2.310136,231,2.82,3.8,"2013-12-24 13:36:50",-7.9,76.1,1005,0,0,0,0
"2013-12-24 13:38:00",380822,47.4,2.843731,246.2,3.183,4.7,"2013-12-24 13:37:55",-7.9,76.21,1005,0,0,0,0
"2013-12-24 13:39:00",380823,49.69,2.484704,225.4,2.97,3.6,"2013-12-24 13:38:55",-7.96,76.48,1005,0,0,0,0
"2013-12-24 13:41:00",380824,44.74,4.92112,252.2,2.682,3.6,"2013-12-24 13:40:15",-8,77.03,1005,0,0,0,0
"2013-12-24 13:42:00",380825,46.58,2.328805,234.9,2.93,3.9,"2013-12-24 13:42:00",-8,77.67,1005,0,0,0,0
"2013-12-24 13:44:00",380826,46.07,5.067189,251.4,3.591,5.1,"2013-12-24 13:42:55",-8,78,1005,0,0,0,0
"2013-12-24 13:45:00",380827,48.77,2.438637,245.9,2.84,3.4,"2013-12-24 13:44:15",-8,77.95,1005,0,0,0,0
"2013-12-24 13:46:00",380828,48.39,2.903103,250.9,2.183,2.9,"2013-12-24 13:45:35",-8,78.1,1005,0,0,0,0
"2013-12-24 13:47:00",380829,47.81,2.390339,261.1,2.19,2.8,"2013-12-24 13:46:45",-8,78.17,1005,0,0,0,0
"2013-12-24 13:49:00",380830,45.7,5.02658,261.5,2.627,3.7,"2013-12-24 13:48:15",-8,78.42,1005,0,0,0,0
"2013-12-24 13:50:00",380831,43.63,2.181692,238.4,2.85,3.9,"2013-12-24 13:49:10",-8,78.46,1005,0,0,0,0
"2013-12-24 13:51:00",380832,39.8,2.388112,241.4,1.717,2.1,"2013-12-24 13:50:35",-8,78.46,1005,0,0,0,0
"2013-12-24 13:52:00",380833,37.07,1.853397,229.7,2.68,4.2,"2013-12-24 13:51:55",-8,78.5,1005,0,0,0,0
"2013-12-24 13:53:00",380834,36.36,2.181682,258.3,2.908,4.1,"2013-12-24 13:52:20",-8,78.35,1005,0,0,0,0
"2013-12-24 13:54:00",380835,35.2,1.760049,264.2,2.94,3.7,"2013-12-24 13:53:15",-8,78.39,1005,0,0,0,0
"2013-12-24 13:55:00",380836,36.17,1.808354,258.6,1.48,2.3,"2013-12-24 13:55:00",-8,78.59,1005,0,0,0,0
"2013-12-24 13:56:00",380837,35.26,2.115781,257,2.842,3.7,"2013-12-24 13:55:40",-8,78.75,1005,0,0,0,0
"2013-12-24 13:57:00",380838,32.52,1.626078,254.3,2.12,2.9,"2013-12-24 13:56:05",-8.08,78.71,1005,0,0,0,0
"2013-12-24 13:58:00",380839,31.18,1.559098,228.5,2,3.8,"2013-12-24 13:58:00",-8.1,78.85,1005,0,0,0,0
"2013-12-24 13:59:00",380840,32.28,1.936811,242.7,2.492,3.9,"2013-12-24 13:58:05",-8.09,78.83,1005,0,0,0,0
